"genus","class","fc1_p","fc2_p","fc3_p","between_mean1","within_mean1","family_mean1","total_number_between","total_number_family","total_number_within","number_1_between","number_1_family","number_1_within","freq_between","freq_family","freq_within","fc1_p_adjust","fc2_p_adjust","fc3_p_adjust","fc1","fc2"
"Unclassified_Erysipelotrichaceae","Nasal",0.00239670462274294,NA,NA,0.903769696488634,0.673990158123285,NA,153,NA,37,130,NA,21,0.849673202614379,NA,0.567567567567568,0.00604574139070291,NA,NA,0.229779538365349,NA
"Unclassified_Flavobacteriaceae","Nasal",0.187031398745441,NA,NA,0.978743995550718,0.890166028097063,NA,111,NA,9,107,NA,8,0.963963963963964,NA,0.888888888888889,0.292563081836444,NA,NA,0.0885779674536556,NA
"Unclassified_Gp3","Nasal",1,NA,NA,0.997051597051597,1,NA,185,NA,5,184,NA,5,0.994594594594595,NA,1,1,NA,NA,-0.00294840294840293,NA
"Unclassified_Gp6","Nasal",1,NA,NA,0.99961285327139,1,NA,574,NA,21,573,NA,21,0.998257839721254,NA,1,1,NA,NA,-0.000387146728610177,NA
"Unclassified_Lachnospiraceae","Nasal",4.89937661006892e-26,1,0.0399764767664713,0.997282597375551,0.965295358419038,1,14789,16,771,14419,16,626,0.974981405098384,1,0.811932555123217,4.89937661006892e-25,1,0.242357390396732,0.0319872389565123,NA
"Unclassified_Leptotrichiaceae","Nasal",0.00125390383142029,1,0.252492537546923,0.985286638374894,0.922985402761782,1,1488,3,49,1423,3,36,0.956317204301075,1,0.73469387755102,0.00328124367100636,1,0.680327115056987,0.062301235613112,NA
"Unclassified_Microbacteriaceae","Nasal",0.167142902248174,1,1,0.994262619394373,0.96551724137931,1,1005,1,29,992,1,28,0.987064676616915,1,0.96551724137931,0.275875920404267,1,1,0.0287453780150624,NA
"Unclassified_Neisseriaceae","Nasal",2.0739356848612e-08,NA,NA,0.972199120304065,0.542988139466496,NA,301,NA,24,280,NA,2,0.930232558139535,NA,0.0833333333333333,8.79851502668386e-08,NA,NA,0.429210980837569,NA
"Unclassified_Neisseriales","Nasal",0,0.0146901512982139,0.000375989874252046,0.802887103986644,0.485860212939538,0.730936580950125,68381,30,3979,29189,0,68,0.426858337842383,0,0.017089721035436,0,0.187826695796832,0.00796464802970919,0.317026891047106,0.226954006326954
"Unclassified_Planococcaceae","Nasal",1,NA,NA,1,1,NA,28,NA,8,28,NA,8,1,NA,1,1,NA,NA,0,NA
"Unclassified_Propionibacteriaceae","Nasal",0.00509689323298286,NA,NA,0.979807848479576,0.800040561655773,NA,607,NA,23,581,NA,15,0.957166392092257,NA,0.652173913043478,0.0124098270020452,NA,NA,0.179767286823803,NA
"Unclassified_Proteobacteria","Nasal",4.4850512423615e-06,1,0.308537538725987,0.986141805837814,0.818605746836371,1,646,2,55,621,2,34,0.961300309597523,1,0.618181818181818,1.67441913048163e-05,1,0.72995466479075,0.167536059001443,NA
"Unclassified_Rhizobiales","Nasal",0.0068481872251432,NA,NA,0.98055332797001,0.880376925009678,NA,1651,NA,60,1590,NA,50,0.96305269533616,NA,0.833333333333333,0.0163888241285478,NA,NA,0.100176402960332,NA
"Unclassified_Rikenellaceae","Nasal",0.00264607832202456,NA,NA,0.975163763441245,0.769497635546229,NA,382,NA,24,362,NA,15,0.947643979057592,NA,0.625,0.00661519580506139,NA,NA,0.205666127895016,NA
"Unclassified_Ruminococcaceae","Nasal",4.31802213623102e-17,1,0.202328380963643,0.992363468911293,0.937090026195865,1,8874,6,573,8463,6,456,0.95368492224476,1,0.795811518324607,3.10011845678124e-16,1,0.680327115056987,0.0552734427154279,NA
"Unclassified_Solirubrobacterales","Nasal",1,NA,NA,0.999462798818157,1,NA,510,NA,18,509,NA,18,0.998039215686275,NA,1,1,NA,NA,-0.000537201181842639,NA
"Unclassified_Streptophyta","Nasal",2.57255471577977e-45,0.371977596464021,0.0891485432327269,0.973711758856189,0.929615943313401,0.957556860704415,152699,52,3769,139715,47,3027,0.91496997360821,0.903846153846154,0.803130803926771,3.43007295437303e-44,1,0.396241148368544,0.0440958155427881,0.366358983339329
"Unclassified_Weeksellaceae","Nasal",1.2072383647557e-05,NA,NA,0.98260299763023,0.812459261718145,NA,1426,NA,59,1376,NA,39,0.964936886395512,NA,0.661016949152542,4.17316965594563e-05,NA,NA,0.170143735912086,NA
"Varibaculum","Nasal",0.195682969153776,NA,NA,0.996702012190031,0.917675544794189,NA,203,NA,7,201,NA,6,0.990147783251232,NA,0.857142857142857,0.299405635863701,NA,NA,0.079026467395842,NA
"Veillonella","Nasal",1.15092805436118e-23,0.674877411329703,0.070746042374004,0.940259488987948,0.88544394672049,0.950328158431607,80626,24,1971,66030,21,1352,0.818966586460943,0.875,0.685946220192795,1.11124088007287e-22,1,0.396241148368544,0.0548155422674579,NA
"Winkia","Nasal",1.15339676032244e-11,NA,NA,0.828008624495226,0.440001113230752,NA,375,NA,90,260,NA,22,0.693333333333333,NA,0.244444444444444,5.56812229121177e-11,NA,NA,0.388007511264475,NA
